Word,word_Two,Year,Frequency
10th,pills,1809,5
10th,patient,1849,4
10th,three,1849,3
10th,times,1849,3
10th,into,1809,3
10th,pain,1809,3
10th,yellowness,1809,3
10th,right,1862,3
10th,also,1849,2
10th,ball,1849,2
10th,bone,1849,2
10th,discharge,1849,2
10th,groin,1849,2
10th,ilium,1849,2
10th,mouth,1849,2
10th,over,1849,2
10th,peritonitis,1849,2
10th,still,1849,2
10th,symptoms,1849,2
10th,wound,1849,2
10th,aloes,1809,2
10th,appetite,1809,2
10th,april,1809,2
10th,countenance,1809,2
10th,extending,1809,2
10th,following,1809,2
10th,four,1809,2
10th,juniper,1809,2
10th,mind,1809,2
10th,nearly,1809,2
10th,received,1809,2
10th,skin,1809,2
10th,symptoms,1809,2
10th,tart,1809,2
10th,three,1809,2
10th,ordered,1862,2
10th,pulse,1862,2
10th,11th,1849,1
10th,16th,1849,1
10th,19th,1849,1
10th,after,1849,1
10th,anodyne,1849,1
10th,applied,1849,1
10th,came,1849,1
10th,ceased,1849,1
10th,complains,1849,1
10th,continuing,1849,1
10th,controlled,1849,1
10th,date,1849,1
10th,days,1849,1
10th,diarrhea,1849,1
10th,different,1849,1
10th,dose,1849,1
10th,edwin,1849,1
10th,engineer,1849,1
10th,entering,1849,1
10th,exposure,1849,1
10th,frequent,1849,1
10th,gargle,1849,1
10th,gradually,1849,1
10th,gunshot,1849,1
10th,have,1849,1
10th,hemorrhage,1849,1
10th,inch,1849,1
10th,inches,1849,1
10th,inside,1849,1
10th,irritable,1849,1
10th,keeping,1849,1
10th,lafayette,1849,1
10th,made,1849,1
10th,making,1849,1
10th,mccormick,1849,1
10th,means,1849,1
10th,mist,1849,1
10th,months,1849,1
10th,morning,1849,1
10th,musket,1849,1
10th,nearly,1849,1
10th,ounce,1849,1
10th,pieces,1849,1
10th,place,1849,1
10th,poultice,1849,1
10th,powders,1849,1
10th,pulse,1849,1
10th,quin,1849,1
10th,reduced,1849,1
10th,seaman,1849,1
10th,shattering,1849,1
10th,since,1849,1
10th,sore,1849,1
10th,standing,1849,1
10th,superior,1849,1
10th,take,1849,1
10th,then,1849,1
10th,this,1849,1
10th,took,1849,1
10th,touched,1849,1
10th,traversing,1849,1
10th,tympanitic,1849,1
10th,warren,1849,1
10th,webster,1849,1
10th,when,1849,1
10th,while,1849,1
10th,wiry,1849,1
10th,11th,1809,1
10th,12th,1809,1
10th,14th,1809,1
10th,16th,1809,1
10th,26th,1809,1
10th,abatement,1809,1
10th,admitted,1809,1
10th,aged,1809,1
10th,appeared,1809,1
10th,bedwell,1809,1
10th,before,1809,1
10th,being,1809,1
10th,belly,1809,1
10th,bleeding,1809,1
10th,body,1809,1
10th,born,1809,1
10th,brighter,1809,1
10th,briskly,1809,1
10th,calomel,1809,1
10th,cathartic,1809,1
10th,colour,1809,1
10th,coloured,1809,1
10th,common,1809,1
10th,continue,1809,1
10th,cooper,1809,1
10th,cured,1809,1
10th,days,1809,1
10th,deep,1809,1
10th,degree,1809,1
10th,disappeared,1809,1
10th,discontinued,1809,1
10th,doses,1809,1
10th,each,1809,1
10th,ensuing,1809,1
10th,every,1809,1
10th,evident,1809,1
10th,extreme,1809,1
10th,eyes,1809,1
10th,found,1809,1
10th,furred,1809,1
10th,germany,1809,1
10th,great,1809,1
10th,have,1809,1
10th,heated,1809,1
10th,hospital,1809,1
10th,hours,1809,1
10th,improveing,1809,1
10th,kidneys,1809,1
10th,little,1809,1
10th,made,1809,1
10th,make,1809,1
10th,march,1809,1
10th,more,1809,1
10th,morning,1809,1
10th,much,1809,1
10th,natural,1809,1
10th,nauseating,1809,1
10th,nose,1809,1
10th,ordered,1809,1
10th,over,1809,1
10th,pains,1809,1
10th,particularly,1809,1
10th,prescribed,1809,1
10th,puls,1809,1
10th,pulse,1809,1
10th,quantities,1809,1
10th,region,1809,1
10th,resumed,1809,1
10th,right,1809,1
10th,same,1809,1
10th,shoulder,1809,1
10th,size,1809,1
10th,soda,1809,1
10th,soreness,1809,1
10th,stated,1809,1
10th,stationary,1809,1
10th,strength,1809,1
10th,take,1809,1
10th,than,1809,1
10th,times,1809,1
10th,took,1809,1
10th,urine,1809,1
10th,usual,1809,1
10th,week,1809,1
10th,went,1809,1
10th,whole,1809,1
10th,york,1809,1
10th,13th,1862,1
10th,28th,1862,1
10th,30th,1862,1
10th,admission,1862,1
10th,after,1862,1
10th,ammonia,1862,1
10th,apis,1862,1
10th,april,1862,1
10th,better,1862,1
10th,caught,1862,1
10th,chest,1862,1
10th,complained,1862,1
10th,cough,1862,1
10th,crepitation,1862,1
10th,difficulty,1862,1
10th,discharged,1862,1
10th,examined,1862,1
10th,expectoration,1862,1
10th,found,1862,1
10th,heard,1862,1
10th,inhalation,1862,1
10th,lawrence,1862,1
10th,like,1862,1
10th,lung,1862,1
10th,night,1862,1
10th,over,1862,1
10th,painted,1862,1
10th,patient,1862,1
10th,phthisis,1862,1
10th,punch,1862,1
10th,sharp,1862,1
10th,sheridan,1862,1
10th,sinking,1862,1
10th,sleep,1862,1
10th,stage,1862,1
10th,still,1862,1
10th,stokes,1862,1
10th,there,1862,1
10th,third,1862,1
10th,throughout,1862,1
10th,turpentine,1862,1
10th,veratrum,1862,1
11th,continues,1809,7
11th,improve,1809,5
11th,pulse,1809,5
11th,pills,1809,5
11th,patient,1849,4
11th,every,1809,4
11th,three,1849,3
11th,times,1849,3
11th,continue,1809,3
11th,generally,1809,3
11th,still,1809,3
11th,symptoms,1809,3
11th,into,1809,3
11th,pain,1809,3
11th,yellowness,1809,3
11th,also,1849,2
11th,ball,1849,2
11th,bone,1849,2
11th,discharge,1849,2
11th,groin,1849,2
11th,ilium,1849,2
11th,mouth,1849,2
11th,over,1849,2
11th,peritonitis,1849,2
11th,still,1849,2
11th,symptoms,1849,2
11th,wound,1849,2
11th,14th,1809,2
11th,25th,1809,2
11th,30th,1809,2
11th,diet,1809,2
11th,house,1809,2
11th,improved,1809,2
11th,kidneys,1809,2
11th,more,1809,2
11th,pains,1809,2
11th,rapid,1809,2
11th,since,1809,2
11th,takes,1809,2
11th,than,1809,2
11th,aloes,1809,2
11th,appetite,1809,2
11th,april,1809,2
11th,countenance,1809,2
11th,extending,1809,2
11th,following,1809,2
11th,four,1809,2
11th,juniper,1809,2
11th,mind,1809,2
11th,nearly,1809,2
11th,received,1809,2
11th,skin,1809,2
11th,tart,1809,2
11th,three,1809,2
11th,16th,1849,1
11th,19th,1849,1
11th,after,1849,1
11th,anodyne,1849,1
11th,applied,1849,1
11th,came,1849,1
11th,ceased,1849,1
11th,complains,1849,1
11th,continuing,1849,1
11th,controlled,1849,1
11th,date,1849,1
11th,days,1849,1
11th,diarrhea,1849,1
11th,different,1849,1
11th,dose,1849,1
11th,edwin,1849,1
11th,engineer,1849,1
11th,entering,1849,1
11th,exposure,1849,1
11th,frequent,1849,1
11th,gargle,1849,1
11th,gradually,1849,1
11th,gunshot,1849,1
11th,have,1849,1
11th,hemorrhage,1849,1
11th,inch,1849,1
11th,inches,1849,1
11th,inside,1849,1
11th,irritable,1849,1
11th,keeping,1849,1
11th,lafayette,1849,1
11th,made,1849,1
11th,making,1849,1
11th,mccormick,1849,1
11th,means,1849,1
11th,mist,1849,1
11th,months,1849,1
11th,morning,1849,1
11th,musket,1849,1
11th,nearly,1849,1
11th,ounce,1849,1
11th,pieces,1849,1
11th,place,1849,1
11th,poultice,1849,1
11th,powders,1849,1
11th,pulse,1849,1
11th,quin,1849,1
11th,reduced,1849,1
11th,seaman,1849,1
11th,shattering,1849,1
11th,since,1849,1
11th,sore,1849,1
11th,standing,1849,1
11th,superior,1849,1
11th,take,1849,1
11th,then,1849,1
11th,this,1849,1
11th,took,1849,1
11th,touched,1849,1
11th,traversing,1849,1
11th,tympanitic,1849,1
11th,warren,1849,1
11th,webster,1849,1
11th,when,1849,1
11th,while,1849,1
11th,wiry,1849,1
11th,15th,1809,1
11th,18th,1809,1
11th,24th,1809,1
11th,28th,1809,1
11th,account,1809,1
11th,allay,1809,1
11th,allays,1809,1
11th,anodyne,1809,1
11th,apparently,1809,1
11th,attending,1809,1
11th,book,1809,1
11th,case,1809,1
11th,clinical,1809,1
11th,comfortable,1809,1
11th,complains,1809,1
11th,complaint,1809,1
11th,convalescent,1809,1
11th,cough,1809,1
11th,coughing,1809,1
11th,digitalis,1809,1
11th,drafts,1809,1
11th,effect,1809,1
11th,evening,1809,1
11th,evidently,1809,1
11th,feverish,1809,1
11th,fifty,1809,1
11th,free,1809,1
11th,frequent,1809,1
11th,general,1809,1
11th,gives,1809,1
11th,hundred,1809,1
11th,improves,1809,1
11th,less,1809,1
11th,medicated,1809,1
11th,medicine,1809,1
11th,milk,1809,1
11th,night,1809,1
11th,omit,1809,1
11th,other,1809,1
11th,peppermint,1809,1
11th,physician,1809,1
11th,pulmonary,1809,1
11th,remains,1809,1
11th,respect,1809,1
11th,rest,1809,1
11th,retained,1809,1
11th,slight,1809,1
11th,stomach,1809,1
11th,subsiding,1809,1
11th,this,1809,1
11th,until,1809,1
11th,variableness,1809,1
11th,water,1809,1
11th,12th,1809,1
11th,16th,1809,1
11th,26th,1809,1
11th,abatement,1809,1
11th,admitted,1809,1
11th,aged,1809,1
11th,appeared,1809,1
11th,bedwell,1809,1
11th,before,1809,1
11th,being,1809,1
11th,belly,1809,1
11th,bleeding,1809,1
11th,body,1809,1
11th,born,1809,1
11th,brighter,1809,1
11th,briskly,1809,1
11th,calomel,1809,1
11th,cathartic,1809,1
11th,colour,1809,1
11th,coloured,1809,1
11th,common,1809,1
11th,cooper,1809,1
11th,cured,1809,1
11th,days,1809,1
11th,deep,1809,1
11th,degree,1809,1
11th,disappeared,1809,1
11th,discontinued,1809,1
11th,doses,1809,1
11th,each,1809,1
11th,ensuing,1809,1
11th,evident,1809,1
11th,extreme,1809,1
11th,eyes,1809,1
11th,found,1809,1
11th,furred,1809,1
11th,germany,1809,1
11th,great,1809,1
11th,have,1809,1
11th,heated,1809,1
11th,hospital,1809,1
11th,hours,1809,1
11th,improveing,1809,1
11th,little,1809,1
11th,made,1809,1
11th,make,1809,1
11th,march,1809,1
11th,morning,1809,1
11th,much,1809,1
11th,natural,1809,1
11th,nauseating,1809,1
11th,nose,1809,1
11th,ordered,1809,1
11th,over,1809,1
11th,particularly,1809,1
11th,prescribed,1809,1
11th,puls,1809,1
11th,quantities,1809,1
11th,region,1809,1
11th,resumed,1809,1
11th,right,1809,1
11th,same,1809,1
11th,shoulder,1809,1
11th,size,1809,1
11th,soda,1809,1
11th,soreness,1809,1
11th,stated,1809,1
11th,stationary,1809,1
11th,strength,1809,1
11th,take,1809,1
11th,times,1809,1
11th,took,1809,1
11th,urine,1809,1
11th,usual,1809,1
11th,week,1809,1
11th,went,1809,1
11th,whole,1809,1
11th,york,1809,1
12th,pain,1850,5
12th,pills,1809,5
12th,limbs,1850,4
12th,became,1850,3
12th,head,1850,3
12th,less,1850,3
12th,over,1850,3
12th,seton,1850,3
12th,into,1809,3
12th,pain,1809,3
12th,yellowness,1809,3
12th,back,1850,2
12th,extremity,1850,2
12th,hands,1850,2
12th,lower,1850,2
12th,neck,1850,2
12th,paralyzed,1850,2
12th,power,1850,2
12th,says,1850,2
12th,soon,1850,2
12th,aloes,1809,2
12th,appetite,1809,2
12th,april,1809,2
12th,countenance,1809,2
12th,extending,1809,2
12th,following,1809,2
12th,four,1809,2
12th,juniper,1809,2
12th,mind,1809,2
12th,nearly,1809,2
12th,received,1809,2
12th,skin,1809,2
12th,symptoms,1809,2
12th,tart,1809,2
12th,three,1809,2
12th,15th,1850,1
12th,affect,1850,1
12th,aggravated,1850,1
12th,alexander,1850,1
12th,america,1850,1
12th,another,1850,1
12th,appear,1850,1
12th,arms,1850,1
12th,attack,1850,1
12th,before,1850,1
12th,began,1850,1
12th,cervical,1850,1
12th,character,1850,1
12th,column,1850,1
12th,completely,1850,1
12th,constant,1850,1
12th,disappeared,1850,1
12th,discharged,1850,1
12th,dischargeing,1850,1
12th,discovered,1850,1
12th,during,1850,1
12th,electricity,1850,1
12th,especially,1850,1
12th,fall,1850,1
12th,four,1850,1
12th,gardiner,1850,1
12th,gradually,1850,1
12th,have,1850,1
12th,hour,1850,1
12th,hours,1850,1
12th,improved,1850,1
12th,improvement,1850,1
12th,inserted,1850,1
12th,ireland,1850,1
12th,joints,1850,1
12th,june,1850,1
12th,last,1850,1
12th,lost,1850,1
12th,marked,1850,1
12th,middle,1850,1
12th,more,1850,1
12th,moving,1850,1
12th,never,1850,1
12th,pass,1850,1
12th,patient,1850,1
12th,raise,1850,1
12th,relieved,1850,1
12th,sever,1850,1
12th,severe,1850,1
12th,sharp,1850,1
12th,shoulders,1850,1
12th,sixth,1850,1
12th,slight,1850,1
12th,slightly,1850,1
12th,still,1850,1
12th,strength,1850,1
12th,summer,1850,1
12th,taken,1850,1
12th,that,1850,1
12th,those,1850,1
12th,three,1850,1
12th,time,1850,1
12th,trouble,1850,1
12th,upper,1850,1
12th,vertebral,1850,1
12th,without,1850,1
12th,work,1850,1
12th,would,1850,1
12th,years,1850,1
12th,14th,1809,1
12th,16th,1809,1
12th,26th,1809,1
12th,abatement,1809,1
12th,admitted,1809,1
12th,aged,1809,1
12th,appeared,1809,1
12th,bedwell,1809,1
12th,before,1809,1
12th,being,1809,1
12th,belly,1809,1
12th,bleeding,1809,1
12th,body,1809,1
12th,born,1809,1
12th,brighter,1809,1
12th,briskly,1809,1
12th,calomel,1809,1
12th,cathartic,1809,1
12th,colour,1809,1
12th,coloured,1809,1
12th,common,1809,1
12th,continue,1809,1
12th,cooper,1809,1
12th,cured,1809,1
12th,days,1809,1
12th,deep,1809,1
12th,degree,1809,1
12th,disappeared,1809,1
12th,discontinued,1809,1
12th,doses,1809,1
12th,each,1809,1
12th,ensuing,1809,1
12th,every,1809,1
12th,evident,1809,1
12th,extreme,1809,1
12th,eyes,1809,1
12th,found,1809,1
12th,furred,1809,1
12th,germany,1809,1
12th,great,1809,1
12th,have,1809,1
12th,heated,1809,1
12th,hospital,1809,1
12th,hours,1809,1
12th,improveing,1809,1
12th,kidneys,1809,1
12th,little,1809,1
12th,made,1809,1
12th,make,1809,1
12th,march,1809,1
12th,more,1809,1
12th,morning,1809,1
12th,much,1809,1
12th,natural,1809,1
12th,nauseating,1809,1
12th,nose,1809,1
12th,ordered,1809,1
12th,over,1809,1
12th,pains,1809,1
12th,particularly,1809,1
12th,prescribed,1809,1
12th,puls,1809,1
12th,pulse,1809,1
12th,quantities,1809,1
12th,region,1809,1
12th,resumed,1809,1
12th,right,1809,1
12th,same,1809,1
12th,shoulder,1809,1
12th,size,1809,1
12th,soda,1809,1
12th,soreness,1809,1
12th,stated,1809,1
12th,stationary,1809,1
12th,strength,1809,1
12th,take,1809,1
12th,than,1809,1
12th,times,1809,1
12th,took,1809,1
12th,urine,1809,1
12th,usual,1809,1
12th,week,1809,1
12th,went,1809,1
12th,whole,1809,1
12th,york,1809,1
13th,apii,1849,3
13th,testicle,1849,3
13th,treatment,1849,3
13th,patient,1856,3
13th,right,1862,3
13th,20th,1849,2
13th,also,1849,2
13th,boatman,1849,2
13th,painful,1849,2
13th,quin,1849,2
13th,size,1849,2
13th,swelling,1849,2
13th,tender,1849,2
13th,24th,1856,2
13th,attack,1856,2
13th,cured,1856,2
13th,diarrhea,1856,2
13th,five,1856,2
13th,four,1856,2
13th,germ,1856,2
13th,improving,1856,2
13th,passages,1856,2
13th,pulse,1856,2
13th,sailor,1856,2
13th,says,1856,2
13th,since,1856,2
13th,still,1856,2
13th,that,1856,2
13th,three,1856,2
13th,tongue,1856,2
13th,15th,1856,2
13th,chill,1856,2
13th,days,1856,2
13th,febrile,1856,2
13th,pain,1856,2
13th,sailing,1856,2
13th,ordered,1862,2
13th,pulse,1862,2
13th,18th,1849,1
13th,28th,1849,1
13th,admission,1849,1
13th,admitted,1849,1
13th,after,1849,1
13th,applied,1849,1
13th,attained,1849,1
13th,august,1849,1
13th,bark,1849,1
13th,become,1849,1
13th,began,1849,1
13th,being,1849,1
13th,came,1849,1
13th,ceased,1849,1
13th,chancre,1849,1
13th,cicatrizing,1849,1
13th,considerable,1849,1
13th,days,1849,1
13th,destroyed,1849,1
13th,diminished,1849,1
13th,discharge,1849,1
13th,discharged,1849,1
13th,every,1849,1
13th,exposure,1849,1
13th,four,1849,1
13th,freely,1849,1
13th,goose,1849,1
13th,healthy,1849,1
13th,heat,1849,1
13th,hemorrhage,1849,1
13th,hens,1849,1
13th,hoffman,1849,1
13th,hours,1849,1
13th,integument,1849,1
13th,kick,1849,1
13th,ligatures,1849,1
13th,nearly,1849,1
13th,next,1849,1
13th,orchitis,1849,1
13th,over,1849,1
13th,patient,1849,1
13th,phagedenic,1849,1
13th,powdered,1849,1
13th,prepuce,1849,1
13th,puncture,1849,1
13th,pursued,1849,1
13th,purulent,1849,1
13th,received,1849,1
13th,require,1849,1
13th,right,1849,1
13th,says,1849,1
13th,scrotum,1849,1
13th,since,1849,1
13th,somewhat,1849,1
13th,sprinkled,1849,1
13th,standing,1849,1
13th,states,1849,1
13th,stop,1849,1
13th,swell,1849,1
13th,tenderness,1849,1
13th,that,1849,1
13th,there,1849,1
13th,three,1849,1
13th,ulceration,1849,1
13th,ulcers,1849,1
13th,until,1849,1
13th,urethra,1849,1
13th,veins,1849,1
13th,week,1849,1
13th,with,1849,1
13th,years,1849,1
13th,25th,1856,1
13th,ascribes,1856,1
13th,better,1856,1
13th,blood,1856,1
13th,clean,1856,1
13th,comes,1856,1
13th,discharge,1856,1
13th,drank,1856,1
13th,feels,1856,1
13th,frothy,1856,1
13th,heat,1856,1
13th,leonard,1856,1
13th,light,1856,1
13th,marked,1856,1
13th,night,1856,1
13th,noticed,1856,1
13th,only,1856,1
13th,painful,1856,1
13th,redness,1856,1
13th,rest,1856,1
13th,same,1856,1
13th,slight,1856,1
13th,somewhat,1856,1
13th,their,1856,1
13th,yellowish,1856,1
13th,19th,1856,1
13th,admission,1856,1
13th,after,1856,1
13th,another,1856,1
13th,back,1856,1
13th,chills,1856,1
13th,color,1856,1
13th,coming,1856,1
13th,dozen,1856,1
13th,evacuations,1856,1
13th,every,1856,1
13th,eyes,1856,1
13th,face,1856,1
13th,frontal,1856,1
13th,half,1856,1
13th,head,1856,1
13th,healthy,1856,1
13th,intermit,1856,1
13th,koch,1856,1
13th,loose,1856,1
13th,malarious,1856,1
13th,morning,1856,1
13th,nights,1856,1
13th,none,1856,1
13th,panama,1856,1
13th,penn,1856,1
13th,presents,1856,1
13th,previous,1856,1
13th,printed,1856,1
13th,rather,1856,1
13th,rejected,1856,1
13th,remit,1856,1
13th,second,1856,1
13th,slow,1856,1
13th,smith,1856,1
13th,stomach,1856,1
13th,symptoms,1856,1
13th,taken,1856,1
13th,this,1856,1
13th,thomas,1856,1
13th,upper,1856,1
13th,28th,1862,1
13th,30th,1862,1
13th,admission,1862,1
13th,after,1862,1
13th,ammonia,1862,1
13th,apis,1862,1
13th,april,1862,1
13th,better,1862,1
13th,caught,1862,1
13th,chest,1862,1
13th,complained,1862,1
13th,cough,1862,1
13th,crepitation,1862,1
13th,difficulty,1862,1
13th,discharged,1862,1
13th,examined,1862,1
13th,expectoration,1862,1
13th,found,1862,1
13th,heard,1862,1
13th,inhalation,1862,1
13th,lawrence,1862,1
13th,like,1862,1
13th,lung,1862,1
13th,night,1862,1
13th,over,1862,1
13th,painted,1862,1
13th,patient,1862,1
13th,phthisis,1862,1
13th,punch,1862,1
13th,sharp,1862,1
13th,sheridan,1862,1
13th,sinking,1862,1
13th,sleep,1862,1
13th,stage,1862,1
13th,still,1862,1
13th,stokes,1862,1
13th,there,1862,1
13th,third,1862,1
13th,throughout,1862,1
13th,turpentine,1862,1
13th,veratrum,1862,1
14th,continues,1809,7
14th,improve,1809,5
14th,pulse,1809,5
14th,pills,1809,5
14th,every,1809,4
14th,continue,1809,3
14th,generally,1809,3
14th,still,1809,3
14th,symptoms,1809,3
14th,into,1809,3
14th,pain,1809,3
14th,yellowness,1809,3
14th,pain,1856,3
14th,pains,1856,3
14th,25th,1809,2
14th,30th,1809,2
14th,diet,1809,2
14th,house,1809,2
14th,improved,1809,2
14th,kidneys,1809,2
14th,more,1809,2
14th,pains,1809,2
14th,rapid,1809,2
14th,since,1809,2
14th,takes,1809,2
14th,than,1809,2
14th,aloes,1809,2
14th,appetite,1809,2
14th,april,1809,2
14th,countenance,1809,2
14th,extending,1809,2
14th,following,1809,2
14th,four,1809,2
14th,juniper,1809,2
14th,mind,1809,2
14th,nearly,1809,2
14th,received,1809,2
14th,skin,1809,2
14th,tart,1809,2
14th,three,1809,2
14th,hand,1856,2
14th,head,1856,2
14th,recovered,1856,2
14th,urine,1856,2
14th,15th,1809,1
14th,18th,1809,1
14th,24th,1809,1
14th,28th,1809,1
14th,account,1809,1
14th,allay,1809,1
14th,allays,1809,1
14th,anodyne,1809,1
14th,apparently,1809,1
14th,attending,1809,1
14th,book,1809,1
14th,case,1809,1
14th,clinical,1809,1
14th,comfortable,1809,1
14th,complains,1809,1
14th,complaint,1809,1
14th,convalescent,1809,1
14th,cough,1809,1
14th,coughing,1809,1
14th,digitalis,1809,1
14th,drafts,1809,1
14th,effect,1809,1
14th,evening,1809,1
14th,evidently,1809,1
14th,feverish,1809,1
14th,fifty,1809,1
14th,free,1809,1
14th,frequent,1809,1
14th,general,1809,1
14th,gives,1809,1
14th,hundred,1809,1
14th,improves,1809,1
14th,less,1809,1
14th,medicated,1809,1
14th,medicine,1809,1
14th,milk,1809,1
14th,night,1809,1
14th,omit,1809,1
14th,other,1809,1
14th,peppermint,1809,1
14th,physician,1809,1
14th,pulmonary,1809,1
14th,remains,1809,1
14th,respect,1809,1
14th,rest,1809,1
14th,retained,1809,1
14th,slight,1809,1
14th,stomach,1809,1
14th,subsiding,1809,1
14th,this,1809,1
14th,until,1809,1
14th,variableness,1809,1
14th,water,1809,1
14th,16th,1809,1
14th,26th,1809,1
14th,abatement,1809,1
14th,admitted,1809,1
14th,aged,1809,1
14th,appeared,1809,1
14th,bedwell,1809,1
14th,before,1809,1
14th,being,1809,1
14th,belly,1809,1
14th,bleeding,1809,1
14th,body,1809,1
14th,born,1809,1
14th,brighter,1809,1
14th,briskly,1809,1
14th,calomel,1809,1
14th,cathartic,1809,1
14th,colour,1809,1
14th,coloured,1809,1
14th,common,1809,1
14th,cooper,1809,1
14th,cured,1809,1
14th,days,1809,1
14th,deep,1809,1
14th,degree,1809,1
14th,disappeared,1809,1
14th,discontinued,1809,1
14th,doses,1809,1
14th,each,1809,1
14th,ensuing,1809,1
14th,evident,1809,1
14th,extreme,1809,1
14th,eyes,1809,1
14th,found,1809,1
14th,furred,1809,1
14th,germany,1809,1
14th,great,1809,1
14th,have,1809,1
14th,heated,1809,1
14th,hospital,1809,1
14th,hours,1809,1
14th,improveing,1809,1
14th,little,1809,1
14th,made,1809,1
14th,make,1809,1
14th,march,1809,1
14th,morning,1809,1
14th,much,1809,1
14th,natural,1809,1
14th,nauseating,1809,1
14th,nose,1809,1
14th,ordered,1809,1
14th,over,1809,1
14th,particularly,1809,1
14th,prescribed,1809,1
14th,puls,1809,1
14th,quantities,1809,1
14th,region,1809,1
14th,resumed,1809,1
14th,right,1809,1
14th,same,1809,1
14th,shoulder,1809,1
14th,size,1809,1
14th,soda,1809,1
14th,soreness,1809,1
14th,stated,1809,1
14th,stationary,1809,1
14th,strength,1809,1
14th,take,1809,1
14th,times,1809,1
14th,took,1809,1
14th,urine,1809,1
14th,usual,1809,1
14th,week,1809,1
14th,went,1809,1
14th,whole,1809,1
14th,york,1809,1
14th,20th,1856,1
14th,about,1856,1
14th,acid,1856,1
14th,affected,1856,1
14th,alkaline,1856,1
14th,another,1856,1
14th,attach,1856,1
14th,cured,1856,1
14th,feels,1856,1
14th,felt,1856,1
14th,first,1856,1
14th,four,1856,1
14th,free,1856,1
14th,general,1856,1
14th,generally,1856,1
14th,joints,1856,1
14th,june,1856,1
14th,knee,1856,1
14th,never,1856,1
14th,night,1856,1
14th,note,1856,1
14th,passed,1856,1
14th,porter,1856,1
14th,pressure,1856,1
14th,relapse,1856,1
14th,rheumatic,1856,1
14th,rheumatism,1856,1
14th,right,1856,1
14th,sense,1856,1
14th,server,1856,1
14th,should,1856,1
14th,simply,1856,1
14th,soon,1856,1
14th,suffering,1856,1
14th,swollen,1856,1
14th,symptoms,1856,1
14th,tender,1856,1
14th,there,1856,1
14th,week,1856,1
14th,weeks,1856,1
14th,wrist,1856,1
15th,continues,1809,7
15th,pain,1850,6
15th,admission,1862,6
15th,pain,1844,6
15th,improve,1809,5
15th,patient,1850,4
15th,limbs,1850,4
15th,pulse,1809,4
15th,chill,1856,4
15th,days,1856,4
15th,febrile,1856,4
15th,pain,1856,4
15th,sailing,1856,4
15th,appetite,1862,4
15th,cough,1862,4
15th,time,1862,4
15th,back,1850,3
15th,electricity,1850,3
15th,became,1850,3
15th,head,1850,3
15th,less,1850,3
15th,over,1850,3
15th,seton,1850,3
15th,every,1809,3
15th,generally,1809,3
15th,still,1809,3
15th,bowels,1844,3
15th,discharged,1844,3
15th,fever,1844,3
15th,heart,1844,3
15th,still,1844,3
15th,america,1850,2
15th,began,1850,2
15th,constant,1850,2
15th,epigastrium,1850,2
15th,four,1850,2
15th,improved,1850,2
15th,more,1850,2
15th,pulse,1850,2
15th,sever,1850,2
15th,since,1850,2
15th,skin,1850,2
15th,slightly,1850,2
15th,still,1850,2
15th,years,1850,2
15th,extremity,1850,2
15th,hands,1850,2
15th,lower,1850,2
15th,neck,1850,2
15th,paralyzed,1850,2
15th,power,1850,2
15th,says,1850,2
15th,soon,1850,2
15th,25th,1809,2
15th,30th,1809,2
15th,continue,1809,2
15th,diet,1809,2
15th,house,1809,2
15th,improved,1809,2
15th,rapid,1809,2
15th,since,1809,2
15th,takes,1809,2
15th,19th,1856,2
15th,24th,1856,2
15th,admission,1856,2
15th,after,1856,2
15th,another,1856,2
15th,back,1856,2
15th,chills,1856,2
15th,color,1856,2
15th,coming,1856,2
15th,cured,1856,2
15th,dozen,1856,2
15th,evacuations,1856,2
15th,every,1856,2
15th,eyes,1856,2
15th,face,1856,2
15th,five,1856,2
15th,frontal,1856,2
15th,germ,1856,2
15th,half,1856,2
15th,head,1856,2
15th,healthy,1856,2
15th,intermit,1856,2
15th,koch,1856,2
15th,loose,1856,2
15th,malarious,1856,2
15th,morning,1856,2
15th,nights,1856,2
15th,none,1856,2
15th,panama,1856,2
15th,passages,1856,2
15th,penn,1856,2
15th,presents,1856,2
15th,previous,1856,2
15th,printed,1856,2
15th,pulse,1856,2
15th,rather,1856,2
15th,rejected,1856,2
15th,remit,1856,2
15th,sailor,1856,2
15th,second,1856,2
15th,slow,1856,2
15th,smith,1856,2
15th,stomach,1856,2
15th,symptoms,1856,2
15th,taken,1856,2
15th,this,1856,2
15th,thomas,1856,2
15th,three,1856,2
15th,upper,1856,2
15th,been,1862,2
15th,breathing,1862,2
15th,caught,1862,2
15th,chest,1862,2
15th,cold,1862,2
15th,commenced,1862,2
15th,complaint,1862,2
15th,consumption,1862,2
15th,difficulty,1862,2
15th,dull,1862,2
15th,first,1862,2
15th,followed,1862,2
15th,hacking,1862,2
15th,improved,1862,2
15th,james,1862,2
15th,liver,1862,2
15th,most,1862,2
15th,pain,1862,2
15th,pains,1862,2
15th,phthisis,1862,2
15th,poor,1862,2
15th,rather,1862,2
15th,severe,1862,2
15th,signs,1862,2
15th,some,1862,2
15th,somewhat,1862,2
15th,sounds,1862,2
15th,summit,1862,2
15th,that,1862,2
15th,this,1862,2
15th,treatment,1862,2
15th,troubled,1862,2
15th,under,1862,2
15th,usual,1862,2
15th,usually,1862,2
15th,within,1862,2
15th,year,1862,2
